"id_serial";"novelty_date";"available_date"
"5552";"2018-03-23";"2018-06-29"
"5554";"2018-03-23";"2018-06-29"
"5555";"2017-09-18";"2017-12-21"
"5249";"2017-02-28";"2017-08-14"
"5244";"2017-03-01";"2017-08-13"
"5659";"2018-06-25";"2018-12-30"
"5419";"2017-06-22";"2017-06-24"
"5418";"2017-07-25";"2017-09-02"
"5641";"2018-06-26";"2018-12-30"
"5360";"2017-03-06";"2017-06-18"
"5643";"2018-06-25";"2018-12-30"
"5366";"2017-05-01";"2017-09-09"
"5450";"2017-05-01";"2017-09-16"
"5197";"2018-02-02";"2018-10-05"
"5307";"2017-08-10";"2018-10-30"
"5537";"2017-03-09";"2017-06-15"
"5538";"2017-03-10";"2017-06-15"
"5240";"2016-10-06";"2017-06-11"
"5549";"2018-02-15";"2018-06-17"
"5170";"2017-01-22";"2017-06-11"
"5288";"2017-05-23";"2017-06-11"
"5346";"2016-11-22";"2017-06-11"
"5365";"2018-04-01";"2018-09-15"
"5276";"2017-05-23";"2017-06-11"
"5616";"2018-06-20";"2018-10-30"
"5615";"2018-06-21";"2018-12-25"
"5576";"2017-04-13";"2017-06-04"
"5236";"2018-03-20";"2018-10-28"
"5612";"2018-01-17";"2018-09-28"
"5613";"2018-03-23";"2018-09-28"
"5274";"2018-03-20";"2018-10-04"
"5379";"2016-12-05";"2017-12-20"
"5382";"2016-12-05";"2017-12-20"
"5574";"2017-04-11";"2017-05-31"
"5266";"2018-04-25";"2018-09-30"
"5246";"2017-03-06";"2017-07-17"
"5299";"2017-05-05";"2017-05-22"
"5060";"2017-06-12";"2018-05-20"
"5226";"2018-03-22";"2018-05-20"
"5603";"2017-05-09";"2017-05-21"
"5093";"2016-08-06";"2017-05-21"
"5097";"2016-08-13";"2017-05-20"
"5100";"2016-08-13";"2017-05-20"
"5227";"2018-03-22";"2018-05-19"
"5602";"2017-05-09";"2017-05-20"
"5228";"2018-03-22";"2018-05-18"
"5229";"2018-03-22";"2018-05-17"
"5230";"2018-03-22";"2018-05-16"
"5284";"2017-05-05";"2017-05-17"
"5588";"2018-06-21";"2018-12-25"
"5589";"2018-06-21";"2018-12-25"
"5257";"2017-03-06";"2017-05-15"
"5209";"2017-02-03";"2017-05-15"
"5582";"2018-02-06";"2018-12-26"
"5283";"2016-11-29";"2017-05-15"
"5483";"2017-02-03";"2017-05-15"
"5247";"2017-02-28";"2017-09-10"
"5089";"2016-08-01";"2017-05-14"
"5345";"2016-11-22";"2017-05-14"
