"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"2489";"3";"1";"2";"7";"3.00";"Autokarem do termálů";"Slovensko - Podhájska";"3878.0000";"646.0000";"7.0000"
"2522";"3";"1";"2";"7";"0.00";"Autokarem do termálů";"Slovensko - Podhájska";"3645.0000";"607.0000";"7.0000"
"2520";"3";"1";"2";"7";"0.00";"Autokarem do termálů";"Slovensko - Podhájska";"2739.6667";"456.3333";"7.0000"
"2523";"3";"1";"2";"0";"0.00";"Autokarem do termálů";"Slovensko - Podhájska";"3486.0000";"581.0000";"7.0000"
"2521";"3";"1";"2";"7";"0.00";"Autokarem do termálů";"Slovensko - Podhájska";"4337.8182";"722.4545";"7.0000"
"2516";"3";"1";"2";"0";"3.00";"Autokarem do termálů";"Slovensko - Podhájska";"8791.5000";"1465.0625";"7.0000"
"3693";"3";"2";"1";"0";"3.00";"Švýcarsko";;"125580.0000";"17940.0000";"8.0000"
"3245";"3";"3";"1";"7";"0.00";"Česká republika";"Mariánské Lázně";"5934.6667";"988.9000";"7.0000"
"2155";"2";"2";"3";"6";"3.00";"Indonésie";;"46418.5714";"5157.2857";"10.0000"
"1993";"2";"3";"3";"6";"3.00";"Indie";;"25595.0000";"2133.0000";"13.0000"
"2757";"3";"3";"1";"7";"0.00";"Česká republika";;"11715.8333";"1262.7500";"10.3333"
"1068";"3";"2";"1";"7";"0.00";"Česká republika";"Jáchymov";"1040.4167";"1040.4167";"2.0000"
"2756";"3";"3";"1";"0";"3.00";"Česká republika";;"12588.3333";"1372.7778";"10.2222"
"952";"3";"2";"1";"0";"3.00";"Česká republika";"Jáchymov";"1097.0000";"1097.0000";"2.0000"
"3911";"8";"2";"3";"6";"4.00";"Spojené Arabské Emiráty";;"46836.1017";"6690.2373";"8.0000"
"1441";"8";"2";"3";"6";"4.00";"Spojené Arabské Emiráty";;"30804.7368";"4394.6526";"8.0105"
"1192";"4";"2";"3";"6";"2.00";"Anglie:Tenis";"ATP Masters Londýn";"18990.0000";"6330.0000";"4.0000"
