"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"6130";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"20667.0000";"2198.5000";"11.0000"
"2798";"1";"1";"1";"7";"0.00";"Slovensko";"Jižní Slovensko";"2099.0000";"377.7143";"7.5714"
"4083";"7";"3";"1";"6";"2.00";"Slovensko";"Vysoké Tatry";"1995.0000";"997.6000";"3.0000"
"6228";"4";"1";"3";"7";"0.00";"Olympijské hry";;"1.0000";"1.0000";"2.0000"
"6227";"4";"1";"1";"7";"0.00";"Hokej";"MS 2018";"1.0000";"0.0000";"17.0000"
"6183";"3";"1";"1";"7";"0.00";"Slovensko";"Velký Meder";"706.5000";"220.5000";"7.7500"
"1276";"2";"5";"3";"6";"3.00";"Mexiko";"Mayská riviéra";"63740.0000";"7966.7500";"9.0000"
"6221";"4";"1";"1";"7";"0.00";"Biatlon";;"1.0000";"0.0000";"11.0000"
"6248";"4";"1";"1";"7";"0.00";"Biatlon";;"975.0000";"975.0000";"1.0000"
"6222";"4";"1";"1";"7";"0.00";"Biatlon";;"1.0000";"0.0000";"6.0000"
"6242";"2";"2";"3";"6";"2.00";"Brazílie";;"45826.3636";"8908.6364";"8.3636"
"6007";"3";"2";"1";"0";"3.00";"Slovensko";"Turčianské Teplice";"2070.0000";"2070.0000";"2.0000"
"6009";"3";"2";"1";"7";"0.00";"Slovensko";"Turčianské Teplice";"1190.0000";"1190.0000";"2.0000"
"5987";"3";"3";"1";"6";"3.00";"Česká republika:Česká republika, víkendové pobyty";"Jáchymov";"6485.0000";"2161.0000";"4.0000"
"5991";"3";"3";"1";"6";"2.00";"Česká republika";"Jáchymov";"9770.0000";"1395.3333";"8.0000"
"5994";"3";"3";"1";"6";"2.00";"Česká republika";"Jáchymov";"2890.0000";"1445.0000";"3.0000"
"6031";"3";"1";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"1418.0000";"1418.0000";"2.0000"
"6083";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"12167.6667";"3041.6667";"5.0000"
"6084";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"28473.2500";"4067.0000";"8.0000"
"5894";"3";"1";"1";"0";"3.00";"Slovensko";"Podhájska";"385.0000";"385.0000";"2.0000"
"5921";"3";"3";"1";"7";"0.00";"Česká republika";"Konstantinovy Lázně";"8428.3333";"1203.6667";"8.0000"
"5957";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"4382.5000";"1879.8750";"3.3750"
"5958";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"14528.0000";"3632.0000";"5.0000"
"5959";"3";"4";"1";"6";"2.00";"Slovensko";"Piešťany";"4890.0000";"978.0000";"6.0000"
"5961";"3";"4";"1";"6";"2.00";"Slovensko";"Piešťany";"5250.0000";"875.0000";"7.0000"
"5963";"3";"1";"1";"7";"0.00";"Slovensko";"Podhájska";"2750.0000";"392.0000";"8.0000"
"5965";"3";"3";"1";"6";"2.00";"Slovensko";"Piešťany";"1200.0000";"1200.0000";"2.0000"
"5982";"3";"1";"1";"0";"0.00";"Slovensko";"Rajecké Teplice";"526.0000";"526.0000";"2.0000"
"6002";"3";"3";"1";"0";"3.00";"Slovensko";"Termalpark Nitrava";"6980.0000";"1396.0000";"6.0000"
"6003";"3";"3";"1";"0";"3.00";"Slovensko";"Termalpark Nitrava";"12373.0000";"1767.5000";"8.0000"
"6087";"1";"3";"1";"6";"2.00";"Česká republika";"Beskydy";"4704.0000";"784.0000";"7.0000"
"6163";"3";"3";"1";"6";"3.00";"Slovensko";"Dunajská Streda";"1575.0000";"788.0000";"3.0000"
"6165";"3";"3";"1";"6";"2.00";"Česká republika";"Františkovy Lázně";"3257.0000";"1628.0000";"3.0000"
"6166";"3";"3";"1";"6";"2.00";"Česká republika";"Františkovy Lázně";"4990.0000";"2495.0000";"3.0000"
"6201";"3";"1";"1";"7";"0.00";"Slovensko";"Horné Saliby";"550.0000";"550.0000";"2.0000"
"6215";"1";"3";"1";"6";"2.00";"Česká republika";"Beskydy";"5850.0000";"975.0000";"7.0000"
"6225";"3";"3";"1";"0";"4.00";"Slovensko";"Trenčianské Teplice";"13870.0000";"1981.0000";"8.0000"
"6226";"3";"3";"1";"0";"4.00";"Slovensko";"Trenčianské Teplice";"12970.0000";"1852.5000";"8.0000"
"6209";"3";"3";"1";"6";"3.00";"Slovensko";"Piešťany";"2308.0000";"1154.0000";"3.0000"
"6210";"3";"3";"1";"6";"3.00";"Slovensko";"Piešťany";"5093.0000";"1019.0000";"6.0000"
"6211";"3";"3";"1";"6";"3.00";"Slovensko";"Piešťany";"3268.0000";"1089.0000";"4.0000"
"6214";"4";"1";"1";"7";"0.00";"Biatlon";;"990.0000";"165.0000";"7.0000"
"6224";"6";"1";"2";"7";"0.00";"Polsko";;"445.0000";"445.0000";"1.0000"
"6234";"4";"1";"3";"7";"0.00";"Fotbal";"Liga mistrů:Liga mistrů - Viktoria Plzeň";"1.0000";"1.0000";"2.0000"
"6213";"4";"1";"1";"7";"0.00";"Biatlon";;"1.0000";"0.0000";"10.0000"
"6219";"6";"1";"2";"7";"0.00";"Česká republika";;"470.0000";"470.0000";"1.0000"
"5974";"2";"2";"3";"6";"3.00";"Cesty za uměním:Spojené Arabské Emiráty";;"25990.0000";"6497.0000";"5.0000"
"6160";"6";"1";"2";"7";"0.00";"Německo";;"840.0000";"840.0000";"1.0000"
"6102";"4";"2";"3";"6";"2.00";"Anglie:Tenis";"ATP Masters Londýn";"16456.6667";"8228.3333";"3.0000"
"6077";"4";"1";"3";"6";"2.00";"Anglie:Tenis";"ATP Masters Londýn";"7495.5000";"1070.5000";"8.0000"
"6105";"4";"1";"3";"6";"2.00";"Anglie:Tenis";"ATP Masters Londýn";"11440.0000";"11440.0000";"2.0000"
"6256";"2";"1";"2";"7";"0.00";"Cesty za uměním:Německo";;"1200.0000";"1200.0000";"1.0000"
"6255";"2";"1";"2";"7";"0.00";"Cesty za uměním:Německo";;"1200.0000";"1200.0000";"1.0000"
"5917";"3";"3";"1";"0";"4.00";"Česká republika";"Poděbrady";"7861.6667";"7861.6667";"2.0000"
"6005";"3";"3";"1";"0";"3.00";"Slovensko";"Turčianské Teplice";"10290.0000";"2058.0000";"6.0000"
"6082";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"8806.6667";"2201.3333";"5.0000"
"5748";"2";"2";"3";"6";"2.00";"Nepál";;"45990.0000";"5110.0000";"10.0000"
"6151";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"5685.0000";"1895.0000";"4.0000"
"6152";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"9580.0000";"2395.0000";"5.0000"
"6153";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"14875.0000";"2975.0000";"6.0000"
"6154";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"20670.0000";"3445.0000";"7.0000"
"6182";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"2590.0000";"1295.0000";"3.0000"
"6206";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"28105.0000";"4015.0000";"8.0000"
"6254";"3";"3";"1";"6";"2.00";"Slovensko";"Bardějovské kúpele";"2783.0000";"1391.6667";"3.0000"
"3438";"6";"1";"2";"7";"0.00";"Německo";;"890.0000";"890.0000";"1.0000"
"5932";"2";"2";"2";"7";"0.00";"Cesty za uměním:Rakousko";;"3490.0000";"3490.0000";"2.0000"
"6179";"4";"1";"1";"7";"0.00";"Formule 1";"Mexiko";"1.0000";"1.0000";"1.0000"
"6180";"4";"2";"3";"6";"3.00";"Tenis";"WTA Singapur";"32300.0000";"6460.0000";"6.0000"
"6096";"6";"1";"2";"7";"0.00";"Česká republika";;"663.0000";"663.0000";"1.0000"
"5938";"2";"2";"2";"7";"3.00";"Cesty za uměním:Česká republika:Německo";;"3490.0000";"1745.0000";"3.0000"
"6267";"4";"1";"1";"7";"0.00";"Hokej:USA";"NHL";"2393.0000";"2393.0000";"1.0000"
"5962";"2";"2";"3";"6";"2.00";"Anglie:Cesty za uměním";"Londýn";"19490.0000";"6496.5000";"4.0000"
"6229";"4";"2";"3";"7";"0.00";"Hokej";"NHL";"15990.0000";"7995.0000";"3.0000"
"5892";"2";"2";"2";"6";"3.00";"Cesty za uměním:Itálie";;"11990.0000";"2398.0000";"6.0000"
"6174";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"6238.0000";"6238.0000";"2.0000"
"6176";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"12458.0000";"12458.0000";"2.0000"
"6177";"3";"2";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"18652.0000";"18652.0000";"2.0000"
"6207";"3";"3";"1";"7";"0.00";"Česká republika";"Karlova Studánka";"1855.0000";"927.5000";"3.0000"
"6170";"4";"1";"1";"7";"0.00";"Tenis";"Laver Cup";"1.0000";"0.0000";"3.0000"
"5876";"2";"2";"2";"6";"2.00";"Cesty za uměním:Francie";;"7145.5000";"1429.0000";"6.0000"
"6175";"4";"1";"3";"6";"2.00";"Tenis";"New York";"0.0000";"0.0000";"14.0000"
"1220";"4";"1";"1";"7";"0.00";"Tenis";"US Open";"40638.2500";"40638.2500";"1.0000"
"6041";"1";"1";"5";"7";"3.00";"Chorvatsko";"Biograd na moru:Severní Dalmácie";"10121.4286";"1446.1429";"8.0000"
"6231";"4";"1";"3";"6";"2.00";"Tenis";"US Open";"38990.0000";"9747.0000";"5.0000"
"6194";"3";"3";"1";"6";"3.00";"Slovensko";"Patince";"3053.0000";"1017.0000";"4.0000"
"6195";"3";"3";"1";"6";"3.00";"Slovensko";"Patince";"4548.0000";"910.0000";"6.0000"
"6262";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"3616.0000";"1808.0000";"3.0000"
"6263";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"6888.0000";"2296.0000";"4.0000"
"6264";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"10790.0000";"2697.0000";"5.0000"
"6265";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"18998.0000";"3166.0000";"7.0000"
"5954";"2";"3";"2";"7";"0.00";"Francie";;"12090.0000";"1727.0000";"8.0000"
"6155";"6";"1";"2";"7";"0.00";"Česká republika";;"990.0000";"990.0000";"1.0000"
"6127";"2";"2";"3";"7";"0.00";"Anglie";;"12490.0000";"6245.0000";"3.0000"
"5837";"4";"1";"1";"6";"2.00";"Atletika:Německo";;"940.0000";"134.0000";"8.0000"
"6243";"4";"1";"3";"6";"3.00";"Fotbal";"Španělská liga";"20790.0000";"10395.0000";"3.0000"
"5838";"4";"1";"1";"7";"0.00";"Atletika";;"6390.0000";"1278.0000";"6.0000"
"5930";"2";"2";"2";"7";"0.00";"Cesty za uměním:Německo";;"8663.3333";"2887.3333";"4.0000"
"5835";"4";"1";"2";"7";"0.00";"Atletika";;"2590.0000";"2590.0000";"2.0000"
"6191";"6";"1";"2";"7";"0.00";"Německo";;"1190.0000";"1190.0000";"2.0000"
"6099";"3";"3";"1";"7";"0.00";"Slovensko";"Piešťany";"4327.0000";"720.7500";"8.5000"
"5836";"4";"1";"1";"7";"0.00";"Atletika";;"1140.0000";"1140.0000";"1.0000"
"5970";"2";"2";"2";"7";"0.00";"Německo";;"8990.0000";"1798.0000";"6.0000"
"5941";"4";"1";"1";"7";"0.00";"Formule 1:Maďarsko";"Maďarsko";"2746.6667";"1943.6667";"2.1111"
"6023";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"26990.0000";"18160.0000";"2.6667"
"5969";"2";"2";"2";"7";"0.00";"Litva:Lotyšsko:Polsko";;"11390.0000";"1265.0000";"10.0000"
"5774";"4";"2";"3";"6";"2.00";"Tenis";"Wimbledon";"190365.0000";"63455.0000";"4.0000"
"6143";"2";"2";"3";"6";"2.00";"Cesty za uměním:Francie";;"12990.0000";"6495.0000";"3.0000"
"5686";"4";"1";"1";"7";"0.00";"Fotbal";;"1.0000";"1.0000";"2.0000"
"5773";"4";"2";"3";"6";"2.00";"Tenis";"Wimbledon";"146090.0000";"48696.5000";"4.0000"
"6085";"6";"1";"2";"7";"0.00";"Polsko";;"445.0000";"445.0000";"1.0000"
"5768";"2";"2";"2";"6";"2.00";"Cesty za uměním:Slovensko";;"7490.0000";"1872.0000";"5.0000"
"5931";"2";"1";"2";"7";"0.00";"Francie";;"10990.0000";"1570.0000";"8.0000"
"6235";"3";"1";"1";"7";"0.00";"Slovensko";"Štúrovo";"2626.0000";"656.0000";"5.0000"
"6236";"3";"1";"1";"7";"0.00";"Slovensko";"Štúrovo";"5320.0000";"1330.0000";"5.0000"
"6238";"3";"1";"1";"0";"0.00";"Slovensko";"Štúrovo";"3553.0000";"888.0000";"5.0000"
"5337";"2";"2";"3";"7";"0.00";"Namibie";;"72990.0000";"6613.5417";"12.0417"
"5720";"2";"2";"3";"7";"3.00";"Namibie";;"65535.4545";"7884.5455";"9.3636"
"5765";"4";"2";"3";"6";"2.00";"Tenis";"Wimbledon";"92365.0000";"30788.1667";"4.0000"
"5764";"4";"2";"3";"6";"2.00";"Tenis";"Wimbledon";"108186.2500";"108186.2500";"2.0000"
"5767";"4";"2";"3";"6";"2.00";"Tenis";"Wimbledon";"26203.6364";"26203.6364";"2.0000"
"5769";"4";"2";"3";"6";"2.00";"Tenis";"Wimbledon";"22666.0870";"22666.0870";"2.0000"
"6232";"3";"1";"1";"7";"0.00";"Slovensko";"Štúrovo";"3978.3333";"1326.0000";"4.0000"
"6239";"3";"1";"1";"0";"0.00";"Slovensko";"Štúrovo";"2736.5000";"912.0000";"4.0000"
"6240";"3";"1";"1";"7";"0.00";"Slovensko";"Štúrovo";"2078.0000";"692.0000";"4.0000"
"6052";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"24990.0000";"12495.0000";"3.0000"
"6053";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"37990.0000";"12663.0000";"4.0000"
"6028";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"42990.0000";"7165.0000";"7.0000"
"6029";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"24990.0000";"12495.0000";"3.0000"
"6051";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"23990.0000";"11995.0000";"3.0000"
"5757";"2";"2";"2";"6";"2.00";"Cesty za uměním:Polsko";;"11990.0000";"2398.0000";"6.0000"
"6245";"7";"2";"4";"6";"3.00";"Slovensko";;"4875.7143";"1218.7143";"5.0000"
"6246";"7";"2";"4";"6";"3.00";"Slovensko";;"4331.6667";"1082.6667";"5.0000"
"5928";"2";"2";"3";"7";"0.00";"Island";;"27490.0000";"6643.0000";"5.1667"
"6033";"4";"1";"1";"7";"0.00";"Letectví";"Německo";"1.0000";"1.0000";"2.0000"
"6039";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"35490.0000";"17745.0000";"3.0000"
"6178";"4";"1";"1";"7";"0.00";"Formule 1";"Francie";"1.0000";"1.0000";"1.0000"
"6199";"4";"1";"1";"7";"0.00";"Formule 1";"Francie";"15667.0000";"7833.0000";"3.0000"
"6247";"29";"2";"3";"6";"2.00";"Eurovíkendy:Španělsko";"Barcelona";"10258.3871";"5129.1935";"3.0000"
"6042";"1";"3";"2";"6";"2.00";"Chorvatsko";"Vodice";"5166.6154";"737.5385";"8.0000"
"6251";"3";"3";"1";"6";"3.00";"Slovensko";"Patince";"1500.0000";"750.0000";"3.0000"
"6156";"4";"2";"3";"6";"2.00";"Dostihy";;"16190.0000";"8095.0000";"3.0000"
"6253";"3";"3";"1";"6";"3.00";"Slovensko";"Patince";"2252.0000";"750.0000";"4.0000"
"6032";"4";"1";"3";"6";"2.00";"Fotbal:Rusko";"MS 2018, Rusko";"42990.0000";"8598.0000";"6.0000"
"6241";"2";"3";"4";"6";"2.00";"Slovensko";;"2704.0000";"737.7222";"4.7222"
"6012";"2";"2";"2";"6";"3.00";"Cesty za uměním:Slovensko";;"4990.0000";"2495.0000";"3.0000"
"6056";"29";"2";"3";"6";"2.00";"Eurovíkendy:Itálie";"Toskánsko";"14990.0000";"4996.0000";"4.0000"
"6057";"29";"2";"3";"6";"3.00";"Eurovíkendy:Itálie";"Toskánsko";"12990.0000";"4330.0000";"4.0000"
"6054";"29";"2";"3";"6";"2.00";"Eurovíkendy:Itálie";"Toskánsko";"8990.0000";"2996.0000";"4.0000"
"6055";"29";"2";"3";"6";"2.00";"Eurovíkendy:Itálie";"Toskánsko";"10032.8571";"3344.0000";"4.0000"
"6059";"4";"1";"1";"7";"0.00";"Francie";;"3690.0000";"3690.0000";"2.0000"
"5916";"2";"3";"2";"7";"0.00";"Itálie";;"18204.2857";"2275.0000";"9.0000"
"6027";"1";"3";"2";"7";"3.00";"Chorvatsko";"Makarská riviéra";"9188.0000";"1312.6667";"8.0000"
"6030";"1";"4";"3";"6";"2.00";"Španělsko";"Costa Brava";"8981.3846";"1282.5385";"8.0000"
"6046";"1";"3";"3";"6";"2.00";"Španělsko";;"16416.9231";"2345.1538";"8.0000"
"5986";"1";"3";"1";"6";"2.00";"Chorvatsko";"Severní Dalmácie";"5315.0714";"759.0714";"8.0000"
"6040";"4";"2";"3";"6";"2.00";"Tenis";"French Open";"0.0000";"0.0000";"2.0000"
"5983";"2";"2";"3";"6";"3.00";"Indonésie:Katar:Malajsie";;"45990.0000";"4599.0000";"11.0000"
"6024";"1";"3";"5";"6";"2.00";"Španělsko";"Costa Dorada";"10072.0588";"1438.7059";"8.0000"
"4449";"1";"4";"2";"6";"2.00";"Španělsko";"Costa Brava";"3797.0000";"542.1875";"8.0000"
"2164";"8";"5";"3";"0";"4.00";"Mexiko";"Mayská riviéra";"47477.4375";"5853.3125";"9.1250"
"5734";"2";"2";"2";"6";"2.00";"Cesty za uměním:Francie";;"13990.0000";"2798.0000";"6.0000"
"5887";"2";"2";"2";"7";"0.00";"Anglie";;"9990.0000";"1998.0000";"6.0000"
"5966";"6";"1";"2";"7";"0.00";"Česká republika";;"640.0000";"640.0000";"1.0000"
"6049";"1";"3";"1";"6";"2.00";"Chorvatsko";"Makarská riviéra";"5365.0000";"766.1250";"8.0000"
"6205";"1";"2";"1";"7";"3.00";"Česká republika";"Jižní Morava";"664.7500";"664.7500";"2.0000"
"5688";"4";"2";"3";"6";"2.00";"Fotbal";"Premier League";"0.0000";"0.0000";"2.0000"
"5689";"4";"2";"3";"6";"2.00";"Fotbal";"Premier League";"0.0000";"0.0000";"2.0000"
"5690";"4";"2";"3";"6";"2.00";"Fotbal";"Premier League";"0.0000";"0.0000";"2.0000"
"6162";"3";"3";"1";"7";"0.00";"Slovensko";"Piešťany";"2175.0000";"1088.0000";"3.0000"
"2842";"4";"2";"3";"6";"2.00";"Tenis";"French Open";"14954.0000";"4984.3000";"4.0000"
"6200";"3";"3";"1";"0";"4.00";"Česká republika";"Teplice nad Bečvou";"5860.0000";"1465.0000";"5.0000"
"6202";"3";"3";"1";"0";"0.00";"Česká republika";"Teplice nad Bečvou";"5480.0000";"1370.0000";"5.0000"
"6203";"3";"3";"1";"0";"0.00";"Česká republika";"Teplice nad Bečvou";"7670.0000";"1278.0000";"7.0000"
"6204";"3";"3";"1";"0";"4.00";"Česká republika";"Teplice nad Bečvou";"8210.0000";"1368.0000";"7.0000"
"6217";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"41788.0000";"2458.0000";"18.0000"
"6169";"4";"2";"3";"6";"2.00";"Tenis";"French Open";"15890.0000";"7945.0000";"3.0000"
"6197";"3";"4";"1";"0";"3.00";"Slovensko";"Štúrovo";"1973.0000";"722.0000";"7.3333"
"6149";"4";"2";"3";"6";"2.00";"Tenis";"French Open";"47432.9630";"21222.8519";"3.1481"
"5926";"1";"2";"1";"6";"1.00";"Itálie";;"6372.3824";"910.2843";"8.0000"
"6061";"1";"3";"5";"6";"2.00";"Chorvatsko";"Severní Dalmácie:Sv. Filip i Jakov";"7680.0556";"1096.9444";"8.0000"
"6220";"4";"1";"3";"6";"2.00";"Hokej";"MS 2018";"21990.0000";"10995.0000";"3.0000"
"5620";"4";"1";"1";"7";"0.00";"Hokej";"MS 2018";"1.0000";"1.0000";"2.0000"
"6141";"3";"2";"1";"0";"3.00";"Maďarsko";"Bükfürdö";"4333.5000";"1083.5000";"5.0000"
"6218";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"14990.0000";"14990.0000";"2.0000"
"5925";"1";"1";"1";"7";"0.00";"Itálie";;"11481.0000";"1639.9000";"8.0000"
"5927";"1";"1";"1";"7";"0.00";"Itálie";;"13009.0000";"1857.9167";"8.0000"
"5929";"1";"1";"1";"7";"0.00";"Itálie";"Palmová riviéra";"13339.0000";"1905.1500";"8.0000"
"6189";"4";"1";"3";"6";"1.00";"Hokej";"MS 2018";"2590.0000";"229.6667";"12.3333"
"5783";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"9856.6667";"9856.6667";"2.0000"
"5785";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"15315.0000";"7657.5000";"3.0000"
"5817";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"18190.0000";"4547.0000";"5.0000"
"5663";"4";"2";"3";"6";"2.00";"Tenis";"Madrid";"16023.3333";"8011.6667";"3.0000"
"5782";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"9850.0000";"7572.0000";"2.4000"
"5918";"4";"1";"1";"7";"0.00";"Hokej";;"10015.0000";"1112.0000";"10.0000"
"5664";"4";"1";"3";"6";"2.00";"Španělsko:Tenis";"Madrid";"15990.0000";"5330.0000";"4.0000"
"6188";"4";"1";"3";"6";"1.00";"Hokej";"MS 2018";"2250.0000";"243.6667";"10.3333"
"5662";"2";"2";"2";"7";"0.00";"Anglie:Cesty za uměním";;"16990.0000";"2831.0000";"7.0000"
"5770";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"9240.0000";"9240.0000";"2.0000"
"5776";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"14252.5000";"7126.2500";"3.0000"
"6081";"6";"1";"2";"7";"0.00";"Česká republika";;"375.0000";"375.0000";"1.0000"
"6196";"4";"1";"3";"6";"1.00";"Hokej";"MS 2018";"37990.0000";"5427.0000";"8.0000"
"5781";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"9640.0000";"9640.0000";"2.0000"
"5780";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"11373.3333";"11373.3333";"2.0000"
"5805";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"24456.6667";"5593.6667";"5.3333"
"6190";"4";"1";"3";"6";"1.00";"Hokej";"MS 2018";"35373.3333";"5608.3333";"7.3333"
"5940";"2";"3";"2";"6";"2.00";"Maďarsko";;"5990.0000";"1996.0000";"4.0000"
"6212";"4";"1";"3";"6";"2.00";"Hokej";"MS 2018";"18490.0000";"9245.0000";"3.0000"
"5779";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"10527.5000";"10527.5000";"2.0000"
"5784";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"14806.6667";"5598.8333";"3.6667"
"5786";"4";"1";"2";"6";"1.00";"Hokej";"MS 2018";"7990.0000";"2663.0000";"4.0000"
"6111";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"16156.6667";"8078.3333";"3.0000"
"6112";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"18870.0000";"6290.0000";"4.0000"
"5778";"4";"2";"3";"6";"2.00";"Hokej";"MS 2018";"11765.0000";"11765.0000";"2.0000"
"6192";"4";"1";"3";"7";"0.00";"Hokej";"MS 2018";"16090.0000";"16090.0000";"2.0000"
"6193";"4";"1";"3";"7";"0.00";"Hokej";"MS 2018";"9715.0000";"9715.0000";"2.0000"
"5826";"4";"1";"1";"7";"0.00";"Hokej";"MS 2018";"2197.7826";"2197.7826";"1.0000"
"6110";"4";"1";"1";"7";"0.00";"Hokej";"MS 2018";"1962.5000";"1962.5000";"1.0000"
"6123";"4";"1";"1";"7";"0.00";"Hokej";"MS 2018";"901.2500";"901.2500";"1.0000"
"5920";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Mšené";"3111.0000";"1555.6667";"3.0000"
"5922";"3";"3";"1";"7";"0.00";"Česká republika";"Konstantinovy Lázně";"8375.0000";"1195.6667";"8.0000"
"5923";"3";"3";"1";"0";"0.00";"Česká republika";"Slatinice";"1786.8333";"893.1667";"3.0000"
"5984";"3";"3";"1";"7";"0.00";"Česká republika";"Karlova Studánka";"3621.6667";"603.6667";"7.0000"
"5985";"3";"4";"1";"7";"0.00";"Česká republika";"Karlova Studánka";"4808.3333";"801.3333";"7.0000"
"6004";"3";"3";"1";"0";"3.00";"Slovensko";"Turčianské Teplice";"9920.0000";"1984.0000";"6.0000"
"6006";"3";"3";"1";"0";"3.00";"Slovensko";"Turčianské Teplice";"7840.0000";"2613.0000";"4.0000"
"6008";"3";"3";"1";"7";"0.00";"Slovensko";"Turčianské Teplice";"5642.0000";"1880.6000";"4.0000"
"6010";"3";"4";"1";"0";"0.00";"Česká republika";"Teplice nad Bečvou";"10025.8333";"1432.0000";"8.0000"
"6011";"3";"4";"1";"0";"0.00";"Česká republika";"Teplice nad Bečvou";"9474.0000";"1353.2000";"8.0000"
"6013";"3";"4";"1";"0";"0.00";"Česká republika";"Teplice nad Bečvou";"5180.0000";"1294.5000";"5.0000"
"6014";"3";"3";"1";"0";"0.00";"Česká republika";"Teplice nad Bečvou";"2990.0000";"1495.0000";"3.0000"
"6075";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"11913.3333";"2978.0000";"5.0000"
"6107";"3";"3";"1";"0";"3.00";"Slovensko";"Štúrovo";"1894.0000";"947.0000";"3.0000"
"5972";"4";"1";"1";"7";"0.00";"Formule 1";"Azerbajdžán";"1.0000";"1.0000";"1.0000"
"5955";"4";"1";"3";"6";"2.00";"Tenis";"Barcelona";"12326.3636";"5901.9091";"3.0909"
"6109";"4";"1";"1";"7";"0.00";"Letectví";"Francie";"1.0000";"1.0000";"2.0000"
"6126";"4";"1";"1";"7";"0.00";"Tenis";"Fed Cup";"1.0000";"1.0000";"2.0000"
"6150";"4";"1";"1";"7";"3.00";"Tenis";"Fed Cup";"6790.0000";"4326.6667";"2.6667"
"6171";"4";"1";"1";"7";"3.00";"Tenis";"Fed Cup";"2990.0000";"2990.0000";"2.0000"
"6181";"3";"3";"1";"7";"0.00";"Slovensko";"Patince";"3576.0000";"715.0000";"6.0000"
"5820";"2";"2";"3";"7";"0.00";"Indočína";;"58990.0000";"58990.0000";"2.0000"
"6173";"3";"3";"1";"7";"0.00";"Česká republika";"Luhačovice";"5325.0000";"1775.0000";"4.0000"
"5821";"2";"3";"3";"7";"0.00";"Čína";;"46990.0000";"5221.0000";"10.0000"
"5990";"3";"3";"1";"0";"3.00";"Česká republika";"Jáchymov";"20237.3333";"1445.3333";"15.0000"
"5992";"3";"3";"1";"6";"2.00";"Česká republika";"Jáchymov";"21568.3333";"1540.0000";"15.0000"
"5995";"3";"2";"1";"6";"2.00";"Česká republika";"Jáchymov";"1141.6667";"1141.6667";"2.0000"
"6161";"3";"3";"1";"7";"0.00";"Slovensko";"Piešťany";"6650.0000";"1330.0000";"6.0000"
"5590";"2";"2";"2";"7";"3.00";"Cesty za uměním:Itálie";;"12990.0000";"2598.0000";"6.0000"
